,Year,"EA, at least completed lower secondary","COD, by injury","Population, total","Hospital beds (per 1,000 people)",Country Name,Gini index,Poverty headcount ratio at $3.65,Poverty headcount ratio at $6.85,Poverty gap at $2.15,Poverty gap at $3.65,Poverty headcount ratio at $2.15,Poverty gap at $6.85,GDP per capita
11420,2002,88.5432205200195,8.50739666915402,48202470.0,8.89,Ukraine,29.0,17.0,61.9,0.5,3.7,2.7,20.8,911.9068714122596
11686,2003,88.5432205200195,8.50739666915402,47812949.0,8.81,Ukraine,28.7,10.4,54.1,0.2,2.1,1.1,16.0,1087.7880070105214
12624,2007,95.6928405761719,10.1500550943121,5268400.0,5.06,Kyrgyz Republic,33.9,33.6,74.2,1.7,9.5,8.8,31.8,721.7695263030826
12687,2007,61.490291595459,12.3599771881362,3431614.0,2.3,Panama,52.7,14.9,30.5,2.2,5.7,6.7,13.6,6205.821575503539
12879,2008,80.52283986409503,5.05501740113206,4489544.0,4.85,Ireland,30.9,0.3,0.8,0.1,0.2,0.2,0.4,61353.10656295227
12890,2008,95.6928405761719,10.1500550943121,5318700.0,5.01,Kyrgyz Republic,31.5,22.7,67.6,0.6,5.3,3.3,25.0,966.3938473732078
12894,2008,80.41553243001304,12.7241226603015,49054708.0,7.73,"Korea, Rep.",32.3,0.7,1.7,0.2,0.3,0.2,0.7,21350.42862560409
12922,2008,52.8056488037109,12.3581068270841,109684489.0,1.03,Mexico,49.9,14.5,37.8,1.7,4.9,5.4,14.9,10119.821056798468
12953,2008,61.490291595459,12.3599771881362,3495276.0,2.3,Panama,52.7,10.5,23.2,1.1,3.7,4.1,9.8,7197.110786101011
13062,2009,46.9324188232422,9.36407931995113,10051317.0,1.1,Bolivia,49.2,14.1,28.9,3.8,6.8,8.8,13.5,1725.1462861764485
13116,2009,95.5943069458008,4.72123913842452,3814419.0,3.09,Georgia,38.2,34.3,70.5,3.7,11.5,12.1,31.6,2822.68923316471
13145,2009,80.52283986409503,5.05501740113206,4535375.0,2.83,Ireland,32.7,0.7,1.4,0.4,0.5,0.5,0.8,52133.09061625445
13146,2009,63.816461563110366,15.002909102333,74322685.0,1.38,"Iran, Islamic Rep.",42.1,6.0,22.7,0.4,1.7,1.5,7.3,5602.556281831867
13156,2009,95.6928405761719,10.1500550943121,5383300.0,4.83,Kyrgyz Republic,29.9,18.7,67.6,0.3,3.6,1.5,23.2,871.2242201185537
13219,2009,61.490291595459,12.3599771881362,3559343.0,2.3,Panama,51.8,8.0,23.0,0.6,2.4,2.5,8.5,7618.438459007743
13229,2009,32.9285583496094,12.6445081776989,5702574.0,1.3,Paraguay,49.1,14.6,35.7,1.7,4.9,5.8,14.6,3920.186073471032
13255,2009,99.3027725219727,5.30436121699577,5386406.0,6.54,Slovak Republic,27.2,1.1,3.9,0.2,0.4,0.4,1.3,16597.208458136094
13317,2010,79.641487121582,6.22276976538698,10895586.0,6.12,Belgium,28.4,0.2,0.5,0.1,0.1,0.1,0.2,44184.946353964995
13320,2010,35.01635233561196,7.59040285131126,148391139.0,0.6,Bangladesh,32.1,59.3,89.4,3.2,18.3,18.2,46.5,776.8595769402781
13381,2010,99.8078689575195,3.34052925512224,62766365.0,2.93,United Kingdom,33.7,0.5,0.7,0.2,0.3,0.2,0.4,39693.19387012375
13382,2010,95.5943069458008,4.72123913842452,3786695.0,2.99,Georgia,39.5,35.7,70.6,4.4,12.8,14.4,32.6,3233.220357144819
13401,2010,97.9304733276367,5.51193618971543,10000023.0,7.18,Hungary,29.4,0.3,5.4,0.0,0.1,0.1,1.0,13217.504595110731
13411,2010,81.0681991577148,5.05501740113206,4560155.0,2.73,Ireland,32.3,0.9,1.7,0.4,0.5,0.5,0.9,48663.60044392614
13415,2010,85.1100463867188,5.22801580232753,7623600.0,3.16,Israel,42.5,1.2,7.2,0.1,0.3,0.2,1.9,31266.605317438352
13422,2010,95.6928405761719,10.1500550943121,5447900.0,4.76,Kyrgyz Republic,30.1,21.4,70.5,1.0,5.2,3.5,25.3,880.0385141441858
13426,2010,82.9011688232422,12.7241226603015,49554112.0,8.74,"Korea, Rep.",32.0,0.7,2.2,0.2,0.4,0.5,0.9,23087.225643847476
13450,2010,93.7892074584961,8.00622148250186,2862354.0,6.18,Moldova,32.1,4.5,30.1,0.1,0.8,0.4,7.8,2436.7993586401053
13454,2010,53.0869216918945,12.3581068270841,112532401.0,1.05,Mexico,47.2,12.8,38.1,1.6,4.3,4.5,14.1,9399.964708596684
13459,2010,68.1339416503906,3.47210436141757,414508.0,4.52,Malta,29.0,0.3,0.5,0.1,0.2,0.2,0.3,21798.902932312285
13476,2010,89.5227966308594,4.19336980345435,16615394.0,4.05,Netherlands,27.8,0.1,0.2,0.0,0.0,0.0,0.1,50999.74511688907
13484,2010,33.3851013183594,7.76796887644358,194454498.0,0.6,Pakistan,28.8,52.4,90.4,1.3,13.5,9.4,43.1,911.0899961228412
13485,2010,61.490291595459,12.3599771881362,3623617.0,2.3,Panama,51.6,9.1,21.7,1.0,3.2,3.4,9.0,8124.558307348707
13490,2010,80.9015502929688,6.03720414903758,38042794.0,6.61,Poland,33.2,1.1,4.1,0.1,0.4,0.3,1.3,12504.250185609264
13495,2010,39.60493774414062,12.6445081776989,5768613.0,1.3,Paraguay,51.0,13.5,34.1,1.7,4.9,5.5,13.7,4702.915769882726
13503,2010,12.1764698028564,10.9953026937433,10309031.0,1.6,Rwanda,47.2,82.3,93.4,22.8,43.4,59.2,64.9,594.1095117931685
13511,2010,41.6939582824707,20.4477010132172,6114034.0,1.0,El Salvador,43.5,19.9,49.1,1.6,6.2,6.3,19.6,3017.3073947577
13521,2010,99.29273223876956,5.30436121699577,5391428.0,6.46,Slovak Republic,27.3,1.2,3.4,0.3,0.5,0.5,1.2,16908.84795648804
13523,2010,87.0703430175781,4.82245509216902,9378126.0,2.73,Sweden,27.7,0.8,1.3,0.4,0.5,0.5,0.8,52869.04428915862
13544,2010,46.585880279541,5.10500743782608,73195345.0,2.74,Turkiye,38.8,4.4,18.2,0.1,1.0,0.8,5.7,10614.984569901297
13550,2010,49.4982109069824,6.70522188765526,3352651.0,1.2,Uruguay,44.5,1.6,12.0,0.1,0.3,0.2,3.1,12512.59412684413
13580,2011,99.5548477172852,5.43325113185383,8391643.0,7.68,Austria,30.8,0.6,1.0,0.3,0.4,0.4,0.6,51442.27624644113
13583,2011,80.1013717651367,6.22276976538698,11038264.0,6.05,Belgium,28.1,0.3,0.6,0.1,0.1,0.2,0.2,47410.5669277467
13594,2011,47.825538635253906,9.36407931995113,10396246.0,1.07,Bolivia,46.1,10.4,23.5,2.2,4.5,5.3,10.2,2304.982295473116
13603,2011,96.054557800293,5.67378141368627,7912398.0,5.05,Switzerland,31.7,0.0,0.1,0.0,0.0,0.0,0.0,90476.75896515771
13619,2011,77.2228317260742,5.72467463654588,1145086.0,3.51,Cyprus,32.6,0.0,0.2,0.0,0.0,0.0,0.0,24139.2802017452
13620,2011,99.8156204223633,5.51107577546436,10496088.0,7.06,Czechia,26.4,0.1,0.8,0.0,0.0,0.0,0.2,21871.26607541286
13621,2011,96.713623046875,3.86786151573768,80274983.0,8.38,Germany,30.7,0.0,0.2,0.0,0.0,0.0,0.1,46705.8957963357
13643,2011,79.8137283325195,6.93911343109398,65345233.0,6.36,France,33.3,0.1,0.2,0.0,0.0,0.0,0.1,43846.46607648013
13647,2011,99.8556365966797,3.34052925512224,63258810.0,2.88,United Kingdom,33.2,0.5,0.7,0.2,0.2,0.2,0.4,42150.69814088219
13648,2011,96.1514778137207,4.72123913842452,3756441.0,2.81,Georgia,39.6,33.3,69.0,4.3,12.0,13.4,31.3,4021.7542038806946
13655,2011,64.2316576639811,2.99104425645348,11104899.0,4.47,Greece,34.8,2.0,5.2,0.9,1.1,1.1,2.2,25483.882564493295
13667,2011,98.2056579589844,5.51193618971543,9971727.0,7.19,Hungary,29.2,0.3,5.8,0.0,0.1,0.1,1.2,14234.471576936974
13677,2011,83.4697036743164,5.05501740113206,4580084.0,2.62,Ireland,32.9,0.9,1.4,0.4,0.5,0.5,0.8,52183.132931215674
13681,2011,85.7394104003906,5.22801580232753,7765800.0,3.14,Israel,41.4,1.5,7.0,0.2,0.3,0.2,2.0,34354.71611822311
13688,2011,95.6928405761719,10.1500550943121,5514600.0,4.7,Kyrgyz Republic,27.8,19.3,70.6,0.2,3.5,1.3,24.0,1123.8831359808055
13709,2011,91.6342010498047,8.97816525897928,3028115.0,7.43,Lithuania,32.5,1.6,7.0,0.5,0.7,0.7,2.1,14376.947864393163
13711,2011,98.7891616821289,6.54321049783392,2059709.0,5.88,Latvia,35.8,3.1,11.2,0.5,1.1,1.0,3.7,13338.96223508515
13716,2011,94.3194732666016,8.00622148250186,2860699.0,6.19,Moldova,30.6,3.1,27.0,0.0,0.5,0.2,6.4,2941.3621187423423
13725,2011,69.7437286376953,3.47210436141757,416268.0,4.38,Malta,29.1,0.4,0.6,0.1,0.2,0.2,0.3,23155.11484033858
13739,2011,8.36524963378906,8.30701712086658,17283112.0,0.35,Niger,31.5,88.3,97.7,19.2,43.3,60.6,67.2,507.6024956051977
13742,2011,89.4312515258789,4.19336980345435,16693074.0,3.84,Netherlands,27.8,0.2,0.4,0.1,0.1,0.1,0.2,54230.31290298557
13743,2011,99.5988998413086,5.44895932818142,4953088.0,4.19,Norway,25.3,0.1,0.3,0.1,0.1,0.1,0.1,101221.81347664406
13750,2011,33.2478218078613,7.76796887644358,198602738.0,0.6,Pakistan,29.7,51.7,89.1,1.3,13.3,9.6,42.4,1075.4510201549638
13751,2011,61.490291595459,12.3599771881362,3688674.0,2.27,Panama,51.3,7.3,18.3,0.7,2.4,2.5,7.3,9403.43990821634
13756,2011,81.6829223632813,6.03720414903758,38063255.0,6.63,Poland,33.2,0.9,4.0,0.1,0.3,0.3,1.2,13776.389395701995
13760,2011,45.0074005126953,4.2520392743071,10557560.0,3.37,Portugal,36.3,0.9,3.7,0.2,0.4,0.5,1.1,23217.29549652088
13761,2011,41.55285949707032,12.6445081776989,5843939.0,1.36,Paraguay,52.3,12.9,32.2,1.6,4.7,5.0,13.0,5772.995509888365
13767,2011,88.2002182006836,4.43558809207205,20147528.0,6.31,Romania,35.9,12.6,33.5,2.0,4.8,5.4,13.2,9560.158380006322
13773,2011,10.8460102081299,10.4673398923678,12875880.0,0.3,Senegal,40.3,71.0,90.9,14.3,32.2,41.0,56.2,1383.5391173214334
13777,2011,38.5569686889648,20.4477010132172,6137349.0,1.03,El Salvador,42.3,18.4,50.0,1.3,5.4,5.3,19.0,3304.974183478893
13787,2011,99.3099085489909,5.30436121699577,5398384.0,6.05,Slovak Republic,26.5,0.9,3.0,0.2,0.4,0.4,1.1,18509.740215754235
13788,2011,96.017951965332,7.84314369716472,2052843.0,4.62,Slovenia,24.9,0.0,0.3,0.0,0.0,0.0,0.0,25128.015043130577
13789,2011,87.7039489746094,4.82245509216902,9449213.0,2.7,Sweden,27.6,0.8,1.4,0.4,0.5,0.6,0.8,60755.75955084652
13810,2011,49.7481307983398,5.10500743782608,74173854.0,2.62,Turkiye,40.0,4.0,15.9,0.0,0.8,0.1,4.8,11308.3717351206
13816,2011,51.2122192382813,6.70522188765526,3361637.0,2.98,Uruguay,42.2,1.3,8.5,0.0,0.3,0.1,2.2,14975.562560218666
13837,2012,87.2148971557617,5.13416760461897,2900401.0,2.88,Albania,29.0,4.8,36.7,0.1,1.0,0.6,9.5,4247.631356247084
13846,2012,99.5548477172852,5.40540698866054,8429991.0,7.67,Austria,30.5,0.7,1.1,0.4,0.5,0.6,0.7,48564.917335087426
13849,2012,80.2901916503906,6.211664640783519,11106932.0,5.99,Belgium,27.5,0.2,0.5,0.1,0.2,0.2,0.2,44670.560684510085
13860,2012,51.923828125,9.121431773520971,10569697.0,1.1,Bolivia,46.6,11.0,23.7,3.0,5.4,6.5,10.9,2562.4667842332947
13864,2012,9.59809970855713,9.104610373977104,721145.0,1.74,Bhutan,38.8,11.9,44.9,0.3,2.6,1.7,14.9,2470.072135899105
13869,2012,96.2765808105469,5.6852903582205006,7996861.0,4.97,Switzerland,31.6,0.0,0.0,0.0,0.0,0.0,0.0,85836.20767673591
13885,2012,78.7048034667969,5.270300515903925,1156556.0,3.46,Cyprus,34.3,0.0,0.1,0.0,0.0,0.0,0.0,21656.91337003059
13886,2012,99.8166580200195,5.247882521396885,10510785.0,6.93,Czechia,26.1,0.1,0.9,0.0,0.1,0.0,0.2,19870.80121234037
13887,2012,96.7308578491211,3.90739535899718,80425823.0,8.34,Germany,31.1,0.0,0.2,0.0,0.0,0.0,0.1,43855.85446586179
13890,2012,99.6436004638672,3.528285783779555,5591572.0,3.068333333333334,Denmark,27.8,0.0,0.4,0.0,0.0,0.0,0.1,58507.50805178526
13909,2012,80.487663269043,6.76717417600158,65662240.0,6.34,France,33.1,0.1,0.3,0.0,0.0,0.1,0.1,40870.85236457346
13913,2012,99.8083190917969,3.39179412251166,63700215.0,2.81,United Kingdom,33.1,0.5,0.7,0.2,0.3,0.2,0.5,42485.58606953964
13914,2012,95.5943069458008,4.614172527217335,3728874.0,2.53,Georgia,39.0,29.6,65.5,3.0,10.0,10.7,28.3,4421.929819265413
13921,2012,66.61339569091797,3.146085112067145,11045011.0,4.45,Greece,36.3,2.8,7.2,0.6,1.3,1.5,2.9,21912.998287951727
13933,2012,98.2855682373047,5.028018122401085,9920362.0,7.0,Hungary,30.8,1.0,7.8,0.2,0.3,0.3,1.9,12984.836573013365
13938,2012,45.71714210510253,5.32600158064744,250222695.0,0.83,Indonesia,40.5,46.1,78.5,2.3,14.1,13.7,38.1,3668.212083501231
13943,2012,82.2689514160156,4.48375470533,4599533.0,2.54,Ireland,33.2,0.7,1.3,0.1,0.3,0.3,0.6,49054.697434064066
13947,2012,86.1581115722656,4.698293490021564,7910500.0,3.1,Israel,41.6,1.5,6.7,0.3,0.6,0.7,2.1,33156.22831576373
13954,2012,95.6928405761719,9.3926006041597,5607200.0,4.64,Kyrgyz Republic,27.4,20.0,73.3,0.7,4.2,2.6,25.3,1177.9752575923812
13958,2012,82.16247558593754,11.5225716233636,50199853.0,10.25,"Korea, Rep.",31.6,0.7,1.7,0.1,0.3,0.2,0.7,25466.760517059483
13975,2012,91.415168762207,7.94538957939705,2987773.0,7.45,Lithuania,35.1,2.0,7.0,0.7,0.9,0.9,2.4,14367.70942487197
13977,2012,98.9310073852539,6.09902241547557,2034319.0,5.89,Latvia,35.2,2.8,10.4,0.5,1.0,1.1,3.4,13847.337939319448
13982,2012,95.0330429077148,7.2405716067240755,2860324.0,6.23,Moldova,29.2,2.3,25.9,0.0,0.4,0.1,5.9,3044.8084787624757
13986,2012,58.0119209289551,11.254109459086749,115755909.0,1.03,Mexico,48.7,12.2,35.4,1.2,3.8,3.8,13.2,10376.090495107424
13991,2012,73.2910614013672,3.331855686281005,420028.0,4.71,Malta,29.4,0.3,0.4,0.0,0.1,0.1,0.2,22526.655780146655
14008,2012,89.8591079711914,4.553269485969805,16754962.0,3.75,Netherlands,27.6,0.1,0.2,0.0,0.1,0.1,0.1,50070.14160459039
14009,2012,99.48885955810547,5.420070350371605,5018573.0,3.97,Norway,25.7,0.2,0.3,0.1,0.1,0.1,0.2,102175.91929837366
14017,2012,61.490291595459,10.88602180134541,3754862.0,2.33,Panama,51.7,8.7,18.8,1.1,3.1,3.5,8.0,10767.293178817225
14022,2012,82.2974166870117,5.4111721196195,38063164.0,6.63,Poland,33.0,0.7,4.3,0.1,0.3,0.2,1.2,13010.756918598332
14026,2012,47.2301597595215,4.35284471492313,10514844.0,3.41,Portugal,36.0,1.5,5.5,0.4,0.6,0.7,1.9,20563.713601262843
14027,2012,42.6785202026367,12.3529019868978,5923322.0,1.114,Paraguay,47.6,10.2,27.0,0.9,3.2,3.3,10.4,5621.244026385126
14033,2012,88.9144134521484,4.04442330649708,20058035.0,6.6,Romania,36.5,12.8,33.6,2.2,5.2,6.2,13.5,8930.72991164972
14046,2012,86.07316207885742,3.29628637409932,7199077.0,5.44,Serbia,39.9,10.2,25.0,2.9,4.9,5.3,10.6,6015.945227569688
14053,2012,99.3027725219727,5.69482990552947,5407579.0,5.91,Slovak Republic,26.1,1.1,4.5,0.2,0.4,0.4,1.4,17498.353900259357
14054,2012,96.8689804077148,7.33255210813689,2057159.0,4.54,Slovenia,25.6,0.0,0.3,0.0,0.0,0.0,0.1,22641.805122502978
14055,2012,88.334358215332,4.990884779030055,9519374.0,2.66,Sweden,27.6,0.6,1.2,0.4,0.4,0.5,0.6,58037.82131921721
14076,2012,51.1371307373047,5.39842011797903,75277439.0,2.66,Turkiye,40.2,3.2,14.8,0.0,0.6,0.1,4.4,11697.474362080544
14106,2013,70.7103881835938,23.5916068498346,8751847.0,1.15,United Arab Emirates,32.5,0.0,0.0,0.0,0.0,0.0,0.0,45729.60767574296
14112,2013,99.5548477172852,5.40540698866054,8479823.0,7.64,Austria,30.8,0.4,0.7,0.2,0.3,0.3,0.4,50731.12725418503
14115,2013,81.5879364013672,6.211664640783519,11159407.0,5.93,Belgium,27.7,0.2,0.5,0.1,0.1,0.1,0.2,46757.95185596009
14126,2013,51.923828125,9.121431773520971,10743349.0,1.12,Bolivia,47.6,9.3,21.8,2.3,4.4,5.2,9.4,2853.7971619159816
14127,2013,55.8442993164063,12.805717052335751,201721767.0,2.25,Brazil,52.7,9.5,25.7,1.3,3.4,3.7,10.0,12258.564849171682
14135,2013,96.55035146077478,5.6852903582205006,8089346.0,4.85,Switzerland,32.5,0.0,0.1,0.0,0.0,0.0,0.0,87304.33058135578
14151,2013,79.6970520019531,5.270300515903925,1166968.0,3.41,Cyprus,37.0,0.2,0.3,0.0,0.1,0.1,0.1,20531.590374622785
14152,2013,99.7996520996094,5.247882521396885,10514272.0,6.7,Czechia,26.5,0.1,0.7,0.0,0.0,0.0,0.1,20133.169143135256
14153,2013,96.6717910766602,3.90739535899718,80645605.0,8.28,Germany,31.5,0.0,0.2,0.0,0.0,0.0,0.1,46298.92291773445
14156,2013,99.5849380493164,3.528285783779555,5614932.0,3.07,Denmark,28.5,0.3,0.6,0.3,0.3,0.3,0.4,61191.19370420283
14157,2013,55.2390403747559,12.82581644870505,10157051.0,1.79,Dominican Republic,47.7,13.7,40.5,0.8,3.7,3.0,14.7,6171.295063920473
14168,2013,71.73098246256511,3.51312967279382,46620045.0,2.96,Spain,36.2,1.7,3.8,0.7,1.0,1.1,1.7,29077.18205575649
14175,2013,81.5009994506836,6.76717417600158,66002289.0,6.28,France,32.5,0.1,0.2,0.0,0.1,0.1,0.1,42602.71796526708
14179,2013,99.8322906494141,3.39179412251166,64128273.0,2.76,United Kingdom,32.7,0.2,0.5,0.2,0.2,0.2,0.3,43449.09171731399
14180,2013,96.7516148885091,4.614172527217335,3717668.0,2.59,Georgia,38.6,25.3,60.0,2.1,7.9,8.1,24.7,4623.884713693961
14187,2013,66.1607723236084,3.146085112067145,10965211.0,4.24,Greece,36.1,2.6,8.3,0.3,0.9,1.0,2.9,21787.787763603636
14199,2013,98.3937377929688,5.028018122401085,9893082.0,7.04,Hungary,31.5,0.9,7.3,0.0,0.2,0.2,1.8,13715.07035903604
14204,2013,46.13758468627928,5.32600158064744,253275918.0,0.99,Indonesia,40.8,43.6,76.2,1.8,12.7,11.2,36.1,3602.885516806291
14209,2013,82.2689514160156,4.48375470533,4623816.0,2.56,Ireland,33.5,1.0,1.5,0.5,0.6,0.7,0.9,51546.3547634549
14210,2013,67.731201171875,13.30901495363985,78458928.0,1.5,"Iran, Islamic Rep.",37.4,2.8,18.8,0.1,0.5,0.3,4.8,6280.681867526612
14213,2013,88.427131652832,4.698293490021564,8059500.0,3.09,Israel,40.2,1.0,5.2,0.2,0.4,0.5,1.6,36941.84235735828
14241,2013,92.2894592285156,7.94538957939705,2957689.0,7.31,Lithuania,35.3,2.0,5.8,0.5,0.8,0.7,2.1,15729.652466651229
14243,2013,98.9774017333984,6.09902241547557,2012647.0,5.8,Latvia,35.5,2.5,8.1,0.6,1.1,1.2,2.9,15007.491856171897
14248,2013,95.4942779541016,7.2405716067240755,2859558.0,5.83,Moldova,28.5,1.6,21.1,0.0,0.2,0.0,4.4,3321.043916891544
14257,2013,75.6393890380859,3.331855686281005,425967.0,4.78,Malta,28.8,0.0,0.2,0.0,0.0,0.0,0.1,24769.449602765704
14267,2013,71.21147918701169,9.74396654441426,30134807.0,1.794,Malaysia,41.3,0.6,6.6,0.0,0.1,0.0,1.4,10727.670553305385
14274,2013,89.4114608764648,4.553269485969805,16804432.0,3.61,Netherlands,28.1,0.2,0.3,0.0,0.1,0.1,0.1,52198.89756074582
14275,2013,99.39506072998049,5.420070350371605,5079623.0,3.86,Norway,26.4,0.2,0.4,0.1,0.1,0.1,0.2,103553.84013441668
14282,2013,35.4273300170898,7.554751711732704,205337562.0,0.6,Pakistan,29.5,44.6,86.5,1.1,11.1,7.4,39.2,1126.0407760640064
14283,2013,61.490291595459,10.88602180134541,3821556.0,2.3,Panama,51.5,7.0,18.2,0.6,2.2,2.2,7.0,11932.286220586588
